doc_id,file_name,summary,file_path,upload_date
1,Hồ sơ bảo vệ K30 trở đi,"Tài liệu hướng dẫn và tổng hợp các biểu mẫu, quy trình, điều kiện và tiêu chuẩn đánh giá cho học viên cao học bảo vệ đề án tốt nghiệp từ khóa 30 trở đi tại Trường Đại học Thủy lợi.",Hồ sơ bảo vệ K30 trở đi.doc,2025-07-02
2,Mẫu trình bày đề cương đề án Thạc sĩ,"Tài liệu hướng dẫn học viên trình bày đề cương đề án thạc sĩ theo chuẩn của Trường Đại học Thủy lợi, bao gồm cấu trúc nội dung (mở đầu, mục tiêu, phương pháp, kế hoạch thực hiện), hình thức trình bày và mẫu minh họa cụ thể kèm theo hướng dẫn trích dẫn tài liệu tham khảo.",Mau trinh bay de cuong đề án_2023.doc,2025-07-01
3,Mẫu trình bày luận văn Thạc sĩ chuẩn năm 2017,"Tài liệu hướng dẫn chi tiết cách trình bày luận văn thạc sĩ của Trường Đại học Thủy lợi, bao gồm cấu trúc nội dung, định dạng văn bản, yêu cầu về in ấn, quy định trích dẫn tài liệu tham khảo theo chuẩn IEEE, và quy cách trình bày hình ảnh, bảng biểu, phương trình và phụ lục.",MautrinhbayLV_2017_Chuan.docx,2025-07-01
4,Mẫu nhận xét phản biện luận văn cao học,"Biểu mẫu dành cho giảng viên hoặc phản biện đánh giá luận văn tốt nghiệp Thạc sĩ, gồm các tiêu chí về mục tiêu nghiên cứu, phương pháp, nội dung, tính trung thực, trình bày và đề xuất đạt hay không đạt để bảo vệ.",Mẫu nhận xét phản biện Luận văn_đề án cao học.doc,2025-07-01
5,Mẫu nhận xẻt phản biện đề án cao học,"Mẫu nhận xét dành cho phản biện đánh giá đề án tốt nghiệp Thạc sĩ, bao gồm đánh giá chi tiết nội dung, phương pháp, kết quả và cấu trúc đề án, kèm xác nhận đủ điều kiện bảo vệ.",Mẫu nhận xét phản biện đề án cao học.doc,2025-07-01
6,Mẫu đề nghị giao đề án,Giấy đề nghị từ khoa gửi Phòng Đào tạo để trình Ban Giám hiệu ra quyết định giao đề án và phân công giảng viên hướng dẫn cho học viên cao học theo đợt của năm 2024.,Mẫu đề nghị giao đề án.doc,2025-07-01
7,Quy định tuyển sinh và đào tạo Thạc sĩ chính thức,"Văn bản quy định toàn bộ quá trình tuyển sinh, đào tạo, xét tốt nghiệp trình độ Thạc sĩ tại Trường Đại học Thủy lợi, ban hành theo Quyết định số 1545/QĐ-ĐHTL ngày 14/09/2022.",QĐ_Tuyển sinh và đào tạo_ThS_Chính thức.doc,2025-07-01
8,"Quy định quy trình xét tốt nghiệp và cấp bằng Đại học, Thạc sĩ","Quy trình, điều kiện, thủ tục xét tốt nghiệp và cấp bằng hệ Đại học và Thạc sĩ","QĐ_Quy trình xét TN và cấp bằng ĐH, ThS.pdf",2025-07-01
9,Quy chế tuyển sinh và đào tạo trình độ Tiến sĩ,"Văn bản quy định toàn diện về công tác tuyển sinh, đào tạo, quản lý nghiên cứu sinh và cấp bằng Tiến sĩ tại Trường Đại học Thủy lợi, ban hành theo Quyết định số 489/QĐ-ĐHTL ngày 19/4/2022. Nội dung bao gồm điều kiện dự tuyển, cấu trúc chương trình đào tạo, tiêu chuẩn hướng dẫn, đánh giá luận án, phản biện độc lập và trách nhiệm các đơn vị liên quan.",4294_QC_TS_TLU_489_2022419.pdf,2025-07-01
10,1,11,Báo cáo NLP.docx.pdf,2025-07-24
11,12,2,HocKy4Prj.pptx,2025-07-26
